eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km,planning_priority_score,tree_contact_exposure_proxy,outage_history_proxy_score
0.0,27.6,54.51,29.35,0.2479,-0.4261,100.0,6.5,85.18,39.81,58.86,15.936388888888889
0.0,27.6,45.21,19.59,0.2479,-0.4261,100.0,6.5,81.56,33.58,49.78,15.936388888888889
0.0,27.6,38.0,61.89,0.2479,-0.4261,100.0,6.5,79.93,43.27,57.54,15.936388888888889
0.0,27.6,25.03,68.19,0.2479,-0.4261,100.0,6.5,78.78,30.78,42.7,15.936388888888889
0.0,27.6,28.34,67.84,0.2479,-0.4261,100.0,6.5,76.54,43.46,57.0,15.936388888888889
0.0,27.6,41.6,58.0,0.2479,-0.4261,100.0,6.5,73.57,38.13,52.86,15.936388888888889
0.0,27.6,34.03,65.97,0.2479,-0.4261,100.0,6.5,70.06,39.36,52.77,15.936388888888889
0.0,27.6,66.87,30.83,0.2479,-0.4261,100.0,6.5,66.53,38.43,58.45,15.936388888888889
0.0,27.6,60.74,39.26,0.2479,-0.4261,100.0,6.5,63.32,39.16,59.46,15.936388888888889
0.0,27.6,46.28,53.72,0.2479,-0.4261,100.0,6.5,62.35,42.55,59.93,15.936388888888889
0.0,27.6,15.46,84.54,0.2479,-0.4261,100.0,6.5,61.81,26.77,35.88,15.936388888888889
0.0,27.6,32.4,67.6,0.2479,-0.4261,100.0,6.5,60.24,43.79,57.67,15.936388888888889
0.0,27.6,30.05,69.95,0.2479,-0.4261,100.0,6.5,60.0,42.62,56.26,15.936388888888889
0.0,27.6,60.51,39.49,0.2479,-0.4261,100.0,6.5,61.53,43.59,62.94,15.936388888888889
0.0,27.6,52.88,46.07,0.2479,-0.4261,100.0,6.5,62.65,42.45,59.82,15.936388888888889
0.0,27.6,0.0,100.0,0.2479,-0.4261,100.0,6.5,63.6,28.77,34.67,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,64.81,40.24,55.94,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,66.33,41.42,55.52,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,68.19,39.05,55.4,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,70.34,43.9,58.92,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,72.09,36.0,50.83,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,71.55,40.1,56.25,15.936388888888889
0.0,27.6,,,0.2479,-0.4261,100.0,6.5,70.97,35.14,51.2,15.936388888888889
0.0,27.6,53.28,43.34,0.2479,-0.4261,100.0,6.5,87.92,33.52,51.59,15.936388888888889
0.0,27.6,46.86,38.89,0.2479,-0.4261,100.0,6.5,85.11,43.44,58.83,15.936388888888889
0.0,27.6,33.83,19.5,0.2479,-0.4261,100.0,6.5,81.49,42.21,55.88,15.936388888888889
0.0,27.6,30.07,69.61,0.2479,-0.4261,100.0,6.5,79.88,31.97,44.03,15.936388888888889
0.0,27.6,55.39,38.49,0.2479,-0.4261,100.0,6.5,78.74,45.71,63.24,15.936388888888889
0.0,27.6,27.09,71.35,0.2479,-0.4261,100.0,6.5,76.49,28.78,41.4,15.936388888888889
0.0,27.6,51.4,47.8,0.2479,-0.4261,100.0,6.5,73.51,39.08,55.85,15.936388888888889
0.0,27.6,11.29,88.71,0.2479,-0.4261,100.0,6.5,70.01,33.32,43.85,15.936388888888889
0.0,27.6,73.45,25.45,0.2479,-0.4261,100.0,6.5,66.46,38.75,61.68,15.936388888888889
0.0,27.6,47.7,52.3,0.2479,-0.4261,100.0,6.5,63.26,31.14,47.04,15.936388888888889
0.0,27.6,56.0,44.0,0.2479,-0.4261,100.0,6.5,62.3,42.94,60.61,15.936388888888889
