aoi_id,scene_id,tile,sensing_date,ndvi_mean,ndmi_mean,cloud_filtered_pct,status,notes
okanagan_corridor,S2C_MSIL2A_20260426T185921_N0512_R013_T11ULS_20260427T001213,T11ULS,2026-04-26,0.2987,-0.4455,0.1,processed,
okanagan_corridor,S2C_MSIL2A_20260429T190911_N0512_R056_T10UFV_20260430T002711,T10UFV,2026-04-29,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T10UGA_20260503T223413,T10UGA,2026-05-03,0.3077,-0.4205,0.11,processed,
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T10UGB_20260503T223413,T10UGB,2026-05-03,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T10UGV_20260503T223413,T10UGV,2026-05-03,0.2692,-0.4451,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T11ULQ_20260503T223413,T11ULQ,2026-05-03,0.2676,-0.445,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T11ULR_20260503T223413,T11ULR,2026-05-03,0.3154,-0.4113,0.14,processed,
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T11ULS_20260503T223413,T11ULS,2026-05-03,0.3389,-0.4319,0.04,processed,
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T11UMR_20260503T223413,T11UMR,2026-05-03,0.3184,-0.4047,0.04,processed,
okanagan_corridor,S2C_MSIL2A_20260503T184921_N0512_R113_T11UMS_20260503T223413,T11UMS,2026-05-03,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260506T185921_N0512_R013_T10UFB_20260507T000756,T10UFB,2026-05-06,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260523T184921_N0512_R113_T10UGB_20260523T234313,T10UGB,2026-05-23,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260523T184921_N0512_R113_T10UGV_20260523T234313,T10UGV,2026-05-23,0.3144,-0.4171,0.01,processed,
okanagan_corridor,S2C_MSIL2A_20260523T184921_N0512_R113_T11ULQ_20260523T234313,T11ULQ,2026-05-23,0.3135,-0.4187,0.0,processed,
okanagan_corridor,S2C_MSIL2A_20260602T184921_N0512_R113_T10UGB_20260602T234853,T10UGB,2026-06-02,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
okanagan_corridor,S2C_MSIL2A_20260602T184921_N0512_R113_T11ULS_20260602T234853,T11ULS,2026-06-02,0.4267,-0.3886,0.03,processed,
okanagan_corridor,S2C_MSIL2A_20260618T190911_N0512_R056_T10UFV_20260618T233309,T10UFV,2026-06-18,,,0.0,skipped_no_clear_pixels,No clear AOI pixels after SCL mask
