eccc_wind_gust_max_kmh,weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,vegetation_dryness_score,wildfire_exposure_score,distance_to_active_fire_km
0.0,27.6,27.56,72.44,0.2479,-0.4261,100.0,6.5,54.69
0.0,27.6,40.99,59.01,0.2479,-0.4261,100.0,6.5,51.75
0.0,27.6,24.32,54.05,0.2479,-0.4261,100.0,6.5,53.5
0.0,27.6,7.92,37.26,0.2479,-0.4261,100.0,6.5,55.7
0.0,27.6,16.39,36.07,0.2479,-0.4261,100.0,6.5,53.99
0.0,27.6,44.52,36.3,0.2479,-0.4261,100.0,6.5,58.92
0.0,27.6,8.9,32.44,0.2479,-0.4261,100.0,6.5,63.49
0.0,27.6,29.99,64.82,0.2479,-0.4261,100.0,6.5,67.43
0.0,27.6,48.11,49.42,0.2479,-0.4261,100.0,6.5,70.76
0.0,27.6,0.0,83.33,0.2479,-0.4261,100.0,6.5,56.61
0.0,27.6,52.18,47.11,0.2479,-0.4261,100.0,6.5,98.35
0.0,27.6,37.94,57.94,0.2479,-0.4261,100.0,6.5,95.24
0.0,27.6,45.4,53.39,0.2479,-0.4261,100.0,6.5,91.57
0.0,27.6,57.39,36.96,0.2479,-0.4261,100.0,6.5,88.15
0.0,27.6,65.8,32.58,0.2479,-0.4261,100.0,6.5,86.19
0.0,27.6,68.81,31.19,0.2479,-0.4261,100.0,6.5,83.44
0.0,27.6,34.63,64.48,0.2479,-0.4261,100.0,6.5,79.84
0.0,27.6,72.74,25.38,0.2479,-0.4261,100.0,6.5,79.86
